11:23:37.505 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/getBookdetailBetween],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.List<com.example.server.model.RockBookdetail>> com.example.server.controller.RockBookdetailController.getBookdetailBetween(java.lang.String,java.lang.String,java.lang.String)
11:23:37.506 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/cancelReserveById],methods=[GET]}" onto public com.example.server.core.ret.RetResult com.example.server.controller.RockBookdetailController.cancelReserveById(java.lang.String,java.lang.String)
11:23:37.506 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/cancelReserveByIdReplace],methods=[GET]}" onto public com.example.server.core.ret.RetResult com.example.server.controller.RockBookdetailController.cancelReserveByIdReplace(java.lang.String,java.lang.String,java.lang.String)
11:23:37.508 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockDailyworkstation/getDailyWorkstation],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.List<com.example.server.model.RockDailyworkstation>> com.example.server.controller.RockDailyworkstationController.getDailyWorkstation(java.lang.String,java.lang.String)
11:23:37.510 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockOpcapacityinfo/getCapacityInfo],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.HashMap> com.example.server.controller.RockOpcapacityinfoController.getCapacityInfo(java.lang.String,java.lang.String,java.lang.String)
11:23:37.511 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockOpcapacityinfo/getLastCapacityInfoByEmpid],methods=[GET]}" onto public com.example.server.core.ret.RetResult<com.example.server.model.RockOpcapacityinfo> com.example.server.controller.RockOpcapacityinfoController.getLastCapacityInfoByEmpid(java.lang.String)
11:23:37.514 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockOpemp/changePassword],methods=[GET]}" onto public com.example.server.core.ret.RetResult com.example.server.controller.RockOpempController.changePassword(java.lang.String,java.lang.String)
11:23:37.515 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockOpemp/login],methods=[GET]}" onto public com.example.server.core.ret.RetResult<com.example.server.model.RockOpemp> com.example.server.controller.RockOpempController.login(java.lang.String,java.lang.String)
11:23:37.517 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockOpemp/changePasswordByEmpid],methods=[GET]}" onto public com.example.server.core.ret.RetResult com.example.server.controller.RockOpempController.changePasswordByEmpid(java.lang.String,java.lang.String,java.lang.String)
11:23:37.518 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockOpmanager/getOpmanagerData],methods=[GET]}" onto public com.example.server.core.ret.RetResult<com.example.server.model.RockOpmanage> com.example.server.controller.RockOpmanagerController.getOpmanagerData(java.lang.String)
