10:46:09.687 logback [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
10:46:12.215 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/reserve],methods=[GET]}" onto public synchronized com.example.server.core.ret.RetResult com.example.server.controller.RockBookdetailController.reserve(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
10:46:12.218 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/getBookdetailDay],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.List<com.example.server.model.RockBookdetail>> com.example.server.controller.RockBookdetailController.getBookdetailDay(java.lang.String,java.lang.String,java.lang.String)
10:46:12.219 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/getBookdetail],methods=[GET]}" onto public com.example.server.core.ret.RetResult<com.example.server.model.RockBookdetail> com.example.server.controller.RockBookdetailController.getBookdetail(java.lang.String,java.lang.String)
10:46:12.220 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/getBookdetailMonthDetail],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.List<com.example.server.model.RockBookdetail>> com.example.server.controller.RockBookdetailController.getBookdetailMonthDetail(java.lang.String,java.lang.String)
10:46:12.221 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/getBookdetailMonth],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.HashMap> com.example.server.controller.RockBookdetailController.getBookdetailMonth(java.lang.String,java.lang.String)
10:46:12.222 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/getBookdetailWeek],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.HashMap> com.example.server.controller.RockBookdetailController.getBookdetailWeek(java.lang.String,java.lang.String)
10:46:12.223 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/getBookdetailBetween],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.List<com.example.server.model.RockBookdetail>> com.example.server.controller.RockBookdetailController.getBookdetailBetween(java.lang.String,java.lang.String,java.lang.String)
10:46:12.224 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/cancelReserveById],methods=[GET]}" onto public com.example.server.core.ret.RetResult com.example.server.controller.RockBookdetailController.cancelReserveById(java.lang.String,java.lang.String)
10:46:12.226 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/getBookdetailDayWithShiftflag],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.List<com.example.server.model.RockBookdetail>> com.example.server.controller.RockBookdetailController.getBookdetailDayWithShiftflag(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
10:46:12.237 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/cancelReserveByIdReplace],methods=[GET]}" onto public com.example.server.core.ret.RetResult com.example.server.controller.RockBookdetailController.cancelReserveByIdReplace(java.lang.String,java.lang.String,java.lang.String)
10:46:12.237 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockBookdetail/getReserveFuture],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.List<com.example.server.model.RockBookdetail>> com.example.server.controller.RockBookdetailController.getReserveFuture(java.lang.String)
10:46:12.239 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockDailyworkstation/getDailyWorkstation],methods=[GET]}" onto public com.example.server.core.ret.RetResult<java.util.List<com.example.server.model.RockDailyworkstation>> com.example.server.controller.RockDailyworkstationController.getDailyWorkstation(java.lang.String,java.lang.String)
10:46:12.244 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/rockOpcapacityinfo/getLastCapacityInfoByEmpid],methods=[GET]}" onto public com.example.server.core.ret.RetResult<com.example.server.model.RockOpcapacityinfo> com.example.server.controller.RockOpcapacityinfoController.getLastCapacityInfoByEmpid(java.lang.String)
